[00:03:38] [info] HAZEL: Creating window Hazelnut (1600, 900)
[00:03:38] [info] HAZEL: OpenGL Info:
[00:03:38] [info] HAZEL:   Vendor: NVIDIA Corporation
[00:03:38] [info] HAZEL:   Renderer: NVIDIA GeForce GTX 760/PCIe/SSE2
[00:03:38] [info] HAZEL:   Version: 4.6.0 NVIDIA 473.47
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:44] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = 50
[00:03:45] [warning] HAZEL: Pixel data = 50
[00:03:45] [warning] HAZEL: Pixel data = 50
[00:03:45] [warning] HAZEL: Pixel data = 50
[00:03:45] [warning] HAZEL: Pixel data = 50
[00:03:45] [warning] HAZEL: Pixel data = 50
[00:03:45] [warning] HAZEL: Pixel data = 50
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:45] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:46] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = 50
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:47] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = 50
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:48] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:49] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = 50
[00:03:50] [warning] HAZEL: Pixel data = 50
[00:03:50] [warning] HAZEL: Pixel data = 50
[00:03:50] [warning] HAZEL: Pixel data = 50
[00:03:50] [warning] HAZEL: Pixel data = 50
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:50] [warning] HAZEL: Pixel data = -1
[00:03:51] [warning] HAZEL: Pixel data = -1
[00:03:51] [warning] HAZEL: Pixel data = -1
[00:03:51] [warning] HAZEL: Pixel data = -1
[00:03:51] [warning] HAZEL: Pixel data = -1
[00:03:51] [warning] HAZEL: Pixel data = -1
[00:03:51] [warning] HAZEL: Pixel data = -1
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:51] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
[00:03:52] [warning] HAZEL: Pixel data = 50
